Report,NoisyOR_Score,Positive Bigrams,Positive Unigrams,CRSHNMBR,CRSHDATE,CRSHTIME,NTFYHOUR,ONHWY,ONSTR,ATHWY,ATSTR,HWYCLASS,LATDECDG,LONDECDG
"~""ON 6/12/19 I, DEPUTY IZZARD, WAS DISPATCHED TO A TRAIN VS DUMPTRUCK CRASH AT THE RAIL CROSSING ON BAYFIELD RD JUST WEST OF CTY TK E IN THE TWP OF AMNICON, DOUGLAS CO WI. I WAS TOLD THERE WERE NO INJURIES. UPON ARRIVAL, I OBSERVED UNION PACIFIC TRAIN ENGINE UP8190 STOPPED WITH RAIL CARS BLOCKING THE CROSSING. ON THE WEST SIDE OF THE TRAIN, THERE WAS A DUMP TRUCK. THIS AREA IS UNDER CONSTRUCTION BY THE CN RAIL COMPANY WHO IS ADDING MORE TRACK. I SPOKE WITH THE ENGINEER WHO TOLD ME THE TRAIN WAS MOVING AT APPROX 33 MPH. I SPOKE WITH THE DUMP TRUCK DRIVER WHO TOLD ME THAT THE FLAGMAN DIRECTING TRAFFIC WAIVED HER ACROSS THE CROSSING. THE DRIVER SAID SHE COULDN'T MAKE THE TURN TO THE SOUTH AND BEGAN TO BACK UP TO CORRECT THE TURN WHEN THE TRAIN STRUCK THE TRUCK. IT IS MY UNDERSTANDING THAT THE FLAGMAN WAS SUPPOSED TO STOP ALL TRUCK TRAFFIC IN THE WORK AREA WHEN A TRAIN WAS MOVING THROUGH ON THE TRACK. WITNESS DENNIS SOLMONSON (218-821-2733) SAID THAT THE FLAGMAN WAIVED THE STRUCK TRUCK THROUGH THE CROSSING WHEN THE TRAIN WAS MOVING TOWARDS THE ROAD. SOLMONSON CLAIMED THE FLAGMAN SHOULD HAVE STOPPED THE TRUCK BECAUSE THE TRAIN WAS ONLY """"A QUARTER MILE"""" DOWN THE TRACK. TRUCK TOWED BY LAKE CITY DUE TO DAMAGE TO A RIM AND TIRE.""~~
",1,"['the flagman', 'work area', 'under construction', 'is under', 'the work', 'area is']","['flagman', 'flagman', 'flagman', 'flagman', 'construction']",190603595,6/12/2019,1300,13,,BAYFIELD RD,E,,R TOWN,46.58961751,-91.90708222
"~UNIT 2 WAS STOPPED AT THE RED LIGHT ON WEST BOUND DURAND AVE AT THE INTERSECTION WITH EAST FRONTAGE RD. UNIT 1 WAS TRAVELING WEST ON DURAND AVE APPROACHING UNIT 2 FROM THE REAR. UNIT 1 FAILED TO STOP BEHIND UNIT 2 AND COLLIDED WITH THE REAR OF UNIT 2. ---DRIVER OF UNIT 1 STATED HE CAME TO A COMPLETE STOP BEHIND UNIT 2. HE STATED HE THEN LURCHED FORWARD AND COLLIDED WITH THE REAR OF UNIT 2.---DRIVER  OF UNIT 2 STATED SHE WAS STOPPED AT THE LIGHT BEHIND A COUPLE CARS. SHE STATED UNIT 1 APPROACHED HER FROM THE REAR AND FAILED TO STOP BEFORE COLLIDING INTO THE REAR OF HER VEHICLE. SHE STATED UNIT 1 DID NOT COME TO A STOP BEFORE STRIKING HER VEHICLE. THIS PORTION OF DURAND AVE IS CURRENTLY UNDER CONSTRUCTION. THERE IS 1 LANE IN EACH DIRECTION UNDIVIDED. THE EAST FRONTAGE RD IS CLOSED NORTH OF DURAND AVE. THERE WERE NO WORKERS PRESENT IN THE CONSTRUCTION ZONE. IT SHOULD BE NOTED THAT JUST BEFORE THE CRASH, THE DRIVER OF UNIT 1 WAS STOPPED BY AN OFFICER OF ANOTHER POLICE DEPT AND WAS GIVEN A WARNING FOR EXCEEDING THE SPEED LIMIT.  CHECKED #43~~
",1,"['no workers', 'workers present', 'construction zone', 'the construction', 'construction there', 'currently under', 'under construction', 'is closed', 'is currently', 'each direction', 'zone it', 'this portion']","['construction', 'construction', 'workers', 'zone', 'closed']",190903613,9/14/2019,533,5,11,,,E FRONTAGE RD,U STH,42.6968234,-87.94973992
"~DRIVER 1 ADVISED AS SHE WAS TRAVELING ON USH 12/18 HER VEHICLE WHEEL STARTED TO WOBBLE, SO SHE STARTED TO PULL OVER ONTO THE SHOULDER. DRIVER 1 STATED AS SHE WAS EXITING HER LANE ONTO THE LEFT SHOULDER SHE HIT A ORANGE TRAFFIC BARREL. DRIVER 1 STATED AFTER SHE HIT THE ORANGE TRAFFIC BARREL SHE SWERVED AWAY FROM THE BARREL AND OVER CORRECTED AND SWERVED BACK TO THE LEFT AND COLLIDED WITH THE CEMENT TRAFFIC BARRIER. IT SHOULD BE NOTED THERE WERE ORANGE TRAFFIC BARRELS ON THE SHOULDER OF THE HIGHWAY. NONE OF THE BARRELS WERE IN THE LANES OF TRAFFIC.  NFA  PO CUMLEY/5463~~
",0.999999999,"['were orange', 'barrel driver', 'barrels were', 'traffic barrels', 'barrels on', 'traffic barrel', 'barrel and', 'the barrels', 'the barrel', 'the orange', 'orange traffic']","['barrels', 'barrels', 'barrel', 'barrel', 'barrel', 'orange', 'orange', 'orange']",190906558,9/21/2019,1846,18,12,,,AGRICULTURE DR,U STH,43.04744386,-89.29469508
"~UNIT ONE AND UNIT TWO WERE TRAVELING WESTBOUND ON I94 WEST OF HWY 164 WHEN THEY APPROACHED CONSTRUCTION. THIS CONSTRUCTION HAD THE  FAR LEFT LANE SHUT DOWN WITH ORANGE BARRELS. UNIT TWO ATTEMPTED TO PASS UNIT ONE BEFORE LANE WAS COMPLETELY SHUT DOWN HOWEVER WAS UNSUCCESSFUL AND STRUCK UNIT ONE. UNIT TWO STRUCK UNIT ONE IN THE REAR CAUSING DAMAGE TO IT'S PASSENGER SIDE MIRROR, PASSENGER SIDE QUARTER PANEL, AND PASSENGER SIDE OF ITS FRONT BUMPER. UNIT ONE HAD VERY MINOR DAMAGE. UNIT TWO DID NOT STOP. UNIT ONE PROVIDED A REGISTRATION OF UNIT TWO AS MA4984. THIS REGISTRATION MATCHES THE DESCRIPTION OF THE VEHICLE GIVEN BY UNIT ONE. ATTEMPT TO MAKE CONTACT WITH THIS VEHICLE HAS BEEN UNSUCCESSFUL.                              ON 06.03.19 DETECTIVE JANKE WAS ABLE TO MAKE CONTACT WITH OPERATOR OF UNIT TWO AT THE TIME OF THE CRASH THROUGH THE VEHICLE OWNER. UNIT TWO STATED UNIT ONE WAS NOT LETTING HIM OVER AS THE LANE WAS ENDING SO INSTEAD OF STRIKING BARRELS HE HIT UNIT ONE. ONLY DAMAGE DONE TO UNIT TWO WAS A BROKEN SIDE MIRROR. CITATIONS ISSUED TO UNIT TWO FOR UNSAFE LANE DEVIATION AND FAILURE TO REPORT ACCIDENT.~SECOND DRIVER FOUND~
",0.999999999,"['construction this', 'orange barrels', 'construction had', 'this construction', 'barrels he', 'barrels unit', 'with orange', 'lane shut', 'was ending', 'lane was']","['construction', 'construction', 'barrels', 'barrels', 'orange']",190409977,4/30/2019,1207,12,94,,JJ,BLUEMOUND RD,U IH,43.04861259,-88.23484619
"~I-41 NORTHBOUND AT LOOMIS ROAD. 1 VEHICLE PDO COLLISION WITH CONSTRUCTION BARREL.   UNIT 1 STATED HE WAS DRIVING WEST AND THE SEMI IN FRONT OF HIM KICKED UP AN ORANGE CONSTRUCTION BARREL. HE SWERVED TO AVOID IT BUT ALSO STRUCK THE BARREL CAUSING DAMAGE TO HIS VEHICLE.  UPON MY INVESTIGATION UNIT 1 WAS DRIVING NORTHBOUND ON I-41 AT LOOMIS ROAD. A CONSTRUCTION BARREL WAS KICKED UP INTO TRAFFIC AND THE OPERATOR WAS UNABLE TO AVOID STRIKING IT.  ORANGE CONSTRUCTION BARREL STRUCK NO TOWS NO INJURIES~~X3 32
",0.999999999,"['barrel causing', 'a construction', 'with construction', 'orange construction', 'construction barrel', 'barrel unit', 'the barrel', 'barrel was', 'an orange']","['construction', 'construction', 'construction', 'construction', 'barrel', 'barrel', 'barrel', 'barrel', 'barrel', 'orange', 'orange']",190108447,1/25/2019,1323,13,41,IH 43,36,W LOOMIS RD,U CITY,42.96167647,-87.96850541
"~OFFICERS WERE DISPATCHED TO A DRIVING COMPLAINT AT STATE ST. AT CAMPBELL RD. THE COMPLAINANT ADVISED 750ZMN/WI HAD DRIVEN THROUGH A WORK ZONE AT A HIGH RATE OF SPEED AND ALMOST HIT AN INDIVIDUAL WORKING ON THE ROAD CONSTRUCTION. THE ROAD CONSTRUCTION WORKERS ESTIMATED THE VEHICLE'S SPEED TO BE 45MPH AS IT DROVE THROUGH THE CONSTRUCTION ZONE. THE VEHICLE THEN VEERED INTO THE ONCOMING LANE OF TRAFFIC WHERE IT STRUCK A CURB AS IT TURNED TO GO NE ON CAMPBELL RD. THE VEHICLE THEN WENT OFF THE ROAD AND STRUCK A LARGE BOLDER. I MADE CONTACT WITH THE DRIVER, WYATT ANDERSON. WYATT APPEARED CONFUSED AS HE DID NOT KNOW WHERE HE WAS OR WHERE HE WAS GOING. WYATT WAS TRANSPORTED TO MAYO HOSPITAL WHERE STANDARD FIELD SOBRIETY TESTS WERE GIVEN AND HE DID NOT SHOW ANY SIGNS OF IMPAIRMENT DUE TO DRUGS OR ALCOHOL. A SEARCH OF WYATT'S VEHICLE REVEALED ONE MARIJUANA JOINT. WYATT WAS GIVEN TRAFFIC CITATIONS FOR FAILURE TO MAINTAIN CONTROL OF VEHICLE. UNSAFE LANE DEVIATION, AND UNREASONABLE AND IMPRUDENT SPEED IN A WORK AREA. WYATT WAS ALSO GIVEN A MUNICIPAL CITATION FOR POSSESSION OF MARIJUANA.~~
",0.999999998,"['work zone', 'construction zone', 'the construction', 'work area', 'construction the', 'construction workers', 'road construction', 'a work', 'zone at', 'zone the']","['construction', 'construction', 'construction', 'workers', 'zone', 'zone']",190401020,4/2/2019,2337,23,,CAMPBELL RD,,24TH ST,U CITY,43.81849883,-91.22008975
"~UNIT 1 AND UNIT 2 BOTH W/B ON E LAYTON AV IN THE EAST 100 BLOCK APPROACHING S HOWELL AV. UNIT 2 ENTERS LEFT TURN LANE AT BEGINNING OF CONSTRUCTION BARRELS IN AN ACTIVE WORK ZONE. UNIT 1 THEN SLOWED AND CHANGED LANES INTO THE LEFT TURN LANE BETWEEN THE CONSTRUCTION BARRELS STRIKING UNIT 2 IN A SAME DIRECTION SIDESWIPE.~~
",0.999999985,"['active work', 'work zone', 'the construction', 'construction barrels', 'of construction', 'an active', 'barrels in', 'zone unit']","['construction', 'construction', 'barrels', 'barrels', 'zone', 'active']",190207660,2/2/2019,2038,20,Y,E LAYTON AVE,,S 1ST ST,U CITY,42.95918547,-87.90926059
"~DRIVER 1 CAME INTO THE POLICE STATION AT 2:30PM AND REPORTED A PDO THAT OCCURRED AT APPROXIMATELY 1:30PM IN THE 7700BLK OF NORTH LAKE DRIVER. DRIVER 1 STATED HE WAS TRAVELING SB ON LAKE DRIVE AND DIDN'T REALIZE THAT NORTH LAKE DRIVE WAS COMPLETELY CLOSED DUE TO CONSTRUCTION AT NORTH LAKE DRIVE AND EAST CALUMET ROAD. DRIVER ONE CONTINUED PAST ROAD CLOSED FOR CONSTRUCTION SIGNS UNTIL HE REALIZED HE WAS NOT ABLE TO GO ANY FURTHER DUE TO THE ROAD CONSTRUCTION. DRIVER ONE STATED HE PULLED INTO THE DRIVEWAY ON THE WEST SIDE OF LAKE DRIVE, AND HE HAD OBSERVED A BLUE SEDAN BEHIND HIM PULL INTO THE DRIVEWAY ON THE EAST SIDE OF THE ROAD. DRIVER 1 STATED HE BEGAN TO BACK OUT OF THE DRIVEWAY WHEN HE WAS STRUCK BY DRIVER 2, WHO WAS ALSO BACKING OUT OF THE DRIVEWAY DIRECTLY ACROSS NORTH LAKE DRIVE. DRIVER 1 STATED HE PULLED OVER TO THE SIDE OF THE ROAD TO WAIT FOR DRIVER 2, BUT UNIT 2 CONTINUED SLOWLY PAST HIS LOCATION.  DRIVER 1 DESCRIBED DRIVER 2 AS AN ELDERLY WHITE FEMALE DRIVING A BLUE SEDAN. DRIVER 1 PROVIDED A LICENSE PLATE FOR DRIVER 2. I RESPONDED TO THE PARKING LOT AND OBSERVED UNIT 1. THERE WAS MINOR DAMAGE ON BOTH PASSENGER SIDE DOORS AND THE  BACK PASSENGER SIDE DOOR WAS NOT CLOSING CORRECTLY. I RESPONDED TO THE LISTED ADDRESS FOR UNIT 2 AND SPOKE WITH THE REGISTERED OWNER OF THE VEHICLE. DRIVER 2 STATED SHE HAD BEEN DRIVING ON LAKE DRIVE THIS AFTERNOON AND WAS HEADING HOME WHEN SHE OBSERVED THE STREET WAS COMPLETELY CLOSED AT LAKE AND CALUMET ROAD. DRIVER 2 STATED SHE PULLED INTO A DRIVEWAY TO TURN AROUND AND THEN CONTINUED ON HER WAY. DRIVER 2 STATED SHE WAS NOT AWARE SHE HAD HIT UNIT 1. I OBSERVED UNIT 2 WAS PARKED IN HER GARAGE. I OBSERVED A VERY SMALL AMOUNT OF SCRAPS/DENTS ON THE REAR PASSENGER SIDE OF THE VEHICLE.~~
",0.999999983,"['for construction', 'construction signs', 'to construction', 'construction driver', 'road construction', 'construction at', 'closed due', 'road closed', 'closed for', 'completely closed', 'closed at']","['construction', 'construction', 'construction', 'closed', 'closed', 'closed', 'closing']",190907314,9/23/2019,1330,14,32,LAKE DR,,CALUMET RD,U STH,43.15502328,-87.8967072
"~I WAS DISPATCHED TO NORTHBOUND I-41 AT 124TH STREET FOR A TWO CAR PROPERTY DAMAGE ONLY CRASH. WHEN I ARRIVED ON SCENE UNIT 1 WAS IN LANE 1 IN AN CONED OFF AREA AND UNIT 2 WAS IN THE RIGHT DISTRESS LANE. NO INJURIES REPORTED BY EITHER UNIT.   UNIT 1 STATED THAT WHILE DRIVING IN THE FAR LEFT LANE HE FOUND HIMSELF IN A CONED OFF AREA. HE STATED THAT THERE WERE NO SIGNS WARNING OF THE UPCOMING CONED OFF AREA. HE ATTEMPTED TO MERGE INTO TRAFFIC INTO THE MIDDLE LANE WHEN HE FELT A SEMI-TRUCK MAKE CONTACT WITH HIM.   UNIT 2 STATED THAT WHILE DRIVING IN THE FAR LEFT LANE HE NOTICED A CONED OFF AREA. HE MOVED FROM THE LEFT LANE TO THE MIDDLE LANE. AS HE PASSED THE CONED OFF AREA HE HEARD WHAT SOUNDED LIKE A CRASH. WHEN HE CHECKED HIS DRIVER SIDE MIRROR HE SAW UNIT 1 BOUNCE OFF OF HIS REAR DRIVER SIDE TIRES OF HIS TRAILER.   UPON INVESTIGATION BOTH UNITS WERE HEADING NORTHBOUND ON I-41 AT 124TH STREET. UNIT 1 DID NOT CHANGE LANES TO LANE 2 AND FOUND HIMSELF IN THE CONED OFF AREA. I DID NOT SEE ANY SIGNS INFORMING ONCOMING TRAFFIC OF A LANE CLOSURE. INSTEAD OF CHECKING FOR ONCOMING TRAFFIC, UNIT 1 ATTEMPTED TO MERGE INTO LANE 2. UNIT 2 WAS IN LANE 2 WHEN UNIT 1 ATTEMPTED TO MERGE INTO LANE 2 AND MADE CONTACT WITH UNIT 2.~~
",0.999999923,"['the coned', 'a coned', 'coned off', 'lane closure', 'off area', 'northbound i41']","['coned', 'coned', 'coned', 'coned', 'coned', 'coned', 'closure']",190508289,5/13/2019,1022,10,41,USH 45,145,,U STH,43.15919709,-88.06260697
"~WHILE ON PATROL IN MY MARKED SQUAD I WAS DISPATCHED TO A TWO VEHICLE PROPERTY DAMAGE ONLY CRASH THAT OCCURRED ON THE I-94 SOUTHBOUND OAKWOOD ROAD CONSTRUCTION WORK ZONE.  UNIT 1 STATED THAT ANOTHER TRUCK WAS IN FRONT OF HIM WAS BACKING UP. HE CHECKED HIS MIRROR ON HIS DRIVER SIDE BUT DID NOT CHECK HIS PASSENGER SIDE MIRROR AND THAT IS WHEN THE REAR OF HIS TRUCK HIT A THE FRONT OF A VEHICLE THAT WAS PARKED.   UNIT 2 STATED  THAT SHE PARKED HER VEHICLE AROUND NOON IN THE CONSTRUCTION ZONE WITH OTHER VEHICLES AND AT AROUND 2:12 PM SHE WAS INFORMED THAT A TRUCK HAD STRUCK HER VEHICLE.   UPON INVESTIGATION I DETERMINED THAT UNIT 1 WAS BACKING HIS VEHICLE AND DID NOT CHECK HIS PASSENGER SIDE MIRROR AND ENDED UP CRASHING INTO UNIT 2.  NO INJURIES REPORTED; OR APPARENT  NO TOWS NEEDED  NO GOVERNMENT PROPERTY STRUCK  NO ASSISTING SQUADS~~
",0.999999861,"['work zone', 'construction zone', 'zone with', 'the construction', 'road construction', 'construction work', 'zone unit', 'i94 southbound']","['construction', 'construction', 'zone', 'zone']",190611205,6/24/2019,1405,15,,PRIVATE PROPERTY,41,IH 94,U CITY,42.85427246,-87.94067542
